;BC-FN;BC-UD;BC-SOC;BC-UDI;BC-UG;BC-FG;Abstentions;BlancsNuls
167;0.1228878648233487;0.17665130568356374;0.2534562211981567;0.0;0.0;0.0;0.43164362519201227;0.015360983102918587
168;0.19642857142857142;0.33035714285714285;0.0;0.0;0.0;0.0;0.4107142857142857;0.0625
169;0.1404109589041096;0.2773972602739726;0.1232876712328767;0.0;0.0;0.0;0.4349315068493151;0.023972602739726026
170;0.20915032679738563;0.13071895424836602;0.13071895424836602;0.0;0.0;0.0;0.5032679738562091;0.026143790849673203
171;0.18110236220472442;0.20603674540682415;0.0;0.0;0.0;0.0;0.5170603674540682;0.09580052493438321
172;0.13125845737483086;0.19485791610284167;0.0;0.0;0.0;0.0;0.5399188092016238;0.13396481732070364
173;0.11498257839721254;0.20209059233449478;0.2264808362369338;0.0;0.0;0.0;0.4274099883855981;0.029036004645760744
174;0.09950248756218906;0.1927860696517413;0.19527363184079602;0.0;0.0;0.0;0.48134328358208955;0.03109452736318408
175;0.14166666666666666;0.26666666666666666;0.11666666666666667;0.0;0.0;0.0;0.4583333333333333;0.016666666666666666
176;0.14772727272727273;0.22727272727272727;0.1534090909090909;0.0;0.0;0.0;0.4431818181818182;0.028409090909090908
177;0.2904929577464789;0.0;0.0;0.0;0.0;0.29577464788732394;0.3274647887323944;0.08626760563380281
178;0.11538461538461539;0.19230769230769232;0.23076923076923078;0.0;0.0;0.0;0.44405594405594406;0.017482517482517484
179;0.21338912133891214;0.2301255230125523;0.0;0.0;0.0;0.0;0.4811715481171548;0.07531380753138076
180;0.20211742059672763;0.0;0.0;0.0;0.0;0.35611164581328203;0.3859480269489894;0.05582290664100096
181;0.23140495867768596;0.256198347107438;0.10743801652892562;0.0;0.0;0.0;0.371900826446281;0.03305785123966942
182;0.18867924528301888;0.2037735849056604;0.1509433962264151;0.0;0.0;0.0;0.44150943396226416;0.01509433962264151
183;0.18888888888888888;0.2111111111111111;0.2;0.0;0.0;0.0;0.35555555555555557;0.044444444444444446
184;0.22772277227722773;0.20297029702970298;0.0;0.0;0.0;0.0;0.5297029702970297;0.039603960396039604
185;0.14678899082568808;0.0;0.0;0.44954128440366975;0.0;0.0;0.3577981651376147;0.045871559633027525
186;0.1417004048582996;0.19595141700404858;0.19190283400809716;0.0;0.0;0.0;0.4493927125506073;0.021052631578947368
187;0.14762242725337119;0.127750177430802;0.20581973030518097;0.0;0.0;0.0;0.5024840312278211;0.016323633782824698
188;0.16791979949874686;0.3567251461988304;0.0;0.0;0.0;0.0;0.42355889724310775;0.05179615705931495
189;0.11538461538461539;0.4807692307692308;0.0;0.0;0.0;0.0;0.30128205128205127;0.10256410256410256
190;0.17616580310880828;0.18523316062176165;0.16968911917098445;0.0;0.0;0.0;0.4494818652849741;0.019430051813471502
191;0.12837837837837837;0.34459459459459457;0.0;0.0;0.0;0.0;0.4391891891891892;0.08783783783783784
192;0.29818181818181816;0.31272727272727274;0.0;0.0;0.0;0.0;0.3418181818181818;0.04727272727272727
193;0.1893939393939394;0.15151515151515152;0.19696969696969696;0.0;0.0;0.0;0.4393939393939394;0.022727272727272728
194;0.26993865030674846;0.2331288343558282;0.0;0.0;0.0;0.0;0.44171779141104295;0.05521472392638037
195;0.16905901116427433;0.2583732057416268;0.0;0.0;0.0;0.0;0.5151515151515151;0.05741626794258373
196;0.1864406779661017;0.2966101694915254;0.13559322033898305;0.0;0.0;0.0;0.3686440677966102;0.012711864406779662
197;0.21770334928229665;0.18421052631578946;0.16985645933014354;0.0;0.0;0.0;0.40669856459330145;0.0215311004784689
198;0.1559633027522936;0.12844036697247707;0.21284403669724772;0.0;0.0;0.0;0.4706422018348624;0.03211009174311927
199;0.12162162162162163;0.14864864864864866;0.19594594594594594;0.0;0.0;0.0;0.49324324324324326;0.04054054054054054
200;0.23745819397993312;0.13377926421404682;0.21070234113712374;0.0;0.0;0.0;0.391304347826087;0.026755852842809364
201;0.2670807453416149;0.13664596273291926;0.19254658385093168;0.0;0.0;0.0;0.38509316770186336;0.018633540372670808
202;0.14;0.33;0.0;0.0;0.0;0.0;0.48;0.05
203;0.16883116883116883;0.24675324675324675;0.0;0.0;0.0;0.0;0.5194805194805194;0.06493506493506493
204;0.09523809523809523;0.5;0.16666666666666666;0.0;0.0;0.0;0.23809523809523808;0.0
205;0.1752988047808765;0.40239043824701193;0.0;0.0;0.0;0.0;0.3904382470119522;0.03187250996015936
206;0.14844533600802406;0.1584754262788365;0.21063189568706117;0.0;0.0;0.0;0.46940822467402205;0.013039117352056168
207;0.14624505928853754;0.3073122529644269;0.0;0.0;0.0;0.0;0.48122529644268774;0.06521739130434782
208;0.23972602739726026;0.2962328767123288;0.0;0.0;0.0;0.0;0.3835616438356164;0.08047945205479452
209;0.2048417132216015;0.36685288640595903;0.0;0.0;0.0;0.0;0.37057728119180633;0.05772811918063315
210;0.2037037037037037;0.3055555555555556;0.0;0.0;0.0;0.0;0.4166666666666667;0.07407407407407407
211;0.20666666666666667;0.2733333333333333;0.0;0.0;0.0;0.0;0.44;0.08
212;0.21551724137931033;0.36637931034482757;0.0;0.0;0.0;0.0;0.36637931034482757;0.05172413793103448
213;0.09375;0.28125;0.15625;0.0;0.0;0.0;0.34375;0.125
214;0.13533834586466165;0.38345864661654133;0.12781954887218044;0.0;0.0;0.0;0.3308270676691729;0.022556390977443608
215;0.0;0.16958041958041958;0.0;0.0;0.0;0.28321678321678323;0.5122377622377622;0.03496503496503497
216;0.0;0.15604395604395604;0.0;0.0;0.0;0.18021978021978022;0.6351648351648351;0.02857142857142857
217;0.15856236786469344;0.3361522198731501;0.0;0.0;0.0;0.0;0.4503171247357294;0.05496828752642706
218;0.1875;0.32211538461538464;0.0;0.0;0.0;0.0;0.4182692307692308;0.07211538461538461
219;0.2084942084942085;0.0;0.0;0.21621621621621623;0.0;0.0;0.4826254826254826;0.09266409266409266
220;0.0;0.22784810126582278;0.0;0.0;0.0;0.2510548523206751;0.46835443037974683;0.052742616033755275
221;0.0;0.24751381215469614;0.0;0.0;0.2729281767955801;0.0;0.4530386740331492;0.026519337016574586
222;0.0;0.26544021024967146;0.0;0.0;0.22207621550591328;0.0;0.4730617608409987;0.03942181340341656
223;0.2202729044834308;0.06237816764132553;0.24951267056530213;0.0;0.0;0.0;0.442495126705653;0.025341130604288498
224;0.17090271691498685;0.2787028921998247;0.0;0.0;0.0;0.0;0.48729184925503943;0.06310254163014899
225;0.08743169398907104;0.31693989071038253;0.0;0.0;0.0;0.0;0.5519125683060109;0.04371584699453552
226;0.12937062937062938;0.22144522144522144;0.0;0.0;0.0;0.0;0.5874125874125874;0.06177156177156177
227;0.14180024660912455;0.2885326757090012;0.0;0.0;0.0;0.0;0.5006165228113441;0.0690505548705302
228;0.12138728323699421;0.34778420038535646;0.0;0.0;0.0;0.0;0.4576107899807322;0.07321772639691715
