Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme_0;Nuance_0;Voix_0;%Voix/Exp_0;Binôme_1;Nuance_1;Voix_1;%Voix/Exp_1;Binôme_2;Nuance_2;Voix_2;%Voix/Exp_2;Binôme_3;Nuance_3;Voix_3;%Voix/Exp_3;Binôme_4;Nuance_4;Voix_4;%Voix/Exp_4;Binôme_5;Nuance_5;Voix_5;%Voix/Exp_5;Binôme_6;Nuance_6;Voix_6;%Voix/Exp_6;Binôme_7;Nuance_7;Voix_7;%Voix/Exp_7;Binôme_8;Nuance_8;Voix_8;%Voix/Exp_8;Binôme_9;Nuance_9;Voix_9;%Voix/Exp_9;Binôme_10;Nuance_10;Voix_10;%Voix/Exp_10;Binôme_11;Nuance_11;Voix_11;%Voix/Exp_11;Binôme_12;Nuance_12;Voix_12;%Voix/Exp_12;Binôme_13;Nuance_13;Voix_13;%Voix/Exp_13
11;3;Carcassonne-2;14712;8875;5837;184;102;5551;M. Thierry LECINA;BC-UGE;2194.0;39.52;Mme Sandra DUBOIS;BC-RN;1589.0;28.63;M. Toni CARVAJAL;BC-DVD;1438.0;25.91;M. Rachid IMAMOUINE;BC-FI;330.0;5.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4;Carcassonne-3;14129;9010;5119;175;134;4810;Mme Maria CONQUET;BC-UGE;1997.0;41.52;Mme Sonia AUMAR;BC-RN;1566.0;32.56;M. Lucien FLAMANT;BC-DVD;1247.0;25.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;5;Le Bassin chaurien;15281;9183;6098;287;193;5618;Mme Eliane BRUNEL;BC-UGE;3972.0;70.7;Mme Patricia BIELMAS;BC-RN;1646.0;29.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;6;Les Basses Plaines de l'Aude;17680;11356;6324;244;191;5889;M. Didier ALDEBERT;BC-UGE;3730.0;63.34;Mme Marie José MATEU;BC-RN;2159.0;36.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;7;Les Corbières;13063;7197;5866;220;214;5432;M. Hervé BARO;BC-UGE;2684.0;49.41;M. Francis PLA;BC-RN;1421.0;26.16;Mme Céline CERDA;BC-DVC;1327.0;24.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;8;Le Lézignanais;11523;7131;4392;125;132;4135;Mme Valérie DUMONTET;BC-UGE;1824.0;44.11;Mme Jocelyne BOUCLY;BC-RN;1260.0;30.47;Mme Christine BENET;BC-DVD;1051.0;25.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;9;La Région Limouxine;13363;7193;6170;245;188;5737;M. Pierre DURAND;BC-UGE;3241.0;56.49;Mme Daphné LOOPUYT;BC-RN;1718.0;29.95;Mme Aurélie BES;BC-LR;778.0;13.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;10;La Malepère à la Montagne Noire;12832;6739;6093;225;129;5739;Mme Chloé DANILLON;BC-UGE;2357.0;41.07;M. Philippe FAU;BC-DVC;2034.0;35.44;M. Olivier DE BUCHERE DE L'EPINOIS;BC-RN;1348.0;23.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;11;Narbonne-1;17698;12288;5410;242;183;4985;M. Francis MORLON;BC-UGE;1985.0;39.82;M. Jean-François DARAUD;BC-RN;1691.0;33.92;M. Cherif BERKANE;BC-DVC;825.0;16.55;Mme Marie-Christine JARDINIER;BC-DVD;484.0;9.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;12;Narbonne-2;16250;11072;5178;227;142;4809;M. Jean-Luc DURAND;BC-UGE;1766.0;36.72;M. François PETER;BC-RN;1364.0;28.36;M. Pierre CARBONEL;BC-ECO;756.0;15.72;Mme Vanessa BALDO;BC-DVC;687.0;14.29;Mme Martine BIASOLI;BC-DSV;236.0;4.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
