Code du département,Code du canton,Inscrits,Exprimés,% Abs/Ins,%BLCNUL/VOT,% Exp/Vot,BC-COM,BC-DIV,BC-DLF,BC-DVD,BC-DVG,BC-EXD,BC-EXG,BC-FG,BC-FN,BC-MDM,BC-PG,BC-RDG,BC-SOC,BC-UC,BC-UD,BC-UDI,BC-UG,BC-UMP,BC-VEC
2,9,17058,8853,45.56,0.046629334482015936,95.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06867728453631537,0.34180503784028016,0.0,0.0,0.0,0.0,0.0,0.23223765955043488,0.0,0.3572800180729696,0.0,0.0
2,10,16858,8453,47.98,0.036036036036036036,96.4,0.0677865846445049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2966993966639063,0.0,0.0,0.0,0.0,0.0,0.0,0.14834969833195316,0.29066603572696087,0.1964982846326748,0.0
2,11,14623,8740,37.15,0.04896626768226333,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31750572082379863,0.0,0.0,0.0,0.0,0.0,0.37620137299771167,0.0,0.3062929061784897,0.0,0.0
2,12,19901,11039,41.94,0.04457330794530033,95.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39007156445330193,0.0,0.0,0.0,0.0,0.0,0.2559108614910771,0.0,0.35401757405562095,0.0,0.0
2,13,19066,9394,47.6,0.0597537784005605,94.02,0.06057057696401959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3682137534596551,0.0,0.0,0.0,0.17330210772833723,0.0,0.3979135618479881,0.0,0.0,0.0,0.0
2,14,15584,7402,48.91,0.07033408691283598,92.97,0.16900837611456362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381113212645231,0.0,0.0,0.0,0.0,0.0,0.44987841124020533,0.0,0.0,0.0,0.0
2,15,18792,9055,49.16,0.05222943269834624,94.78,0.054113749309773605,0.0,0.0,0.0,0.0,0.0,0.0,0.06593042517945887,0.39006073992269463,0.0,0.0,0.0,0.19900607399226947,0.0,0.29088901159580344,0.0,0.0,0.0,0.0
2,16,15972,7571,50.53,0.04188812958744621,95.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42121252146347904,0.0,0.0,0.0,0.0,0.0,0.28978998811253465,0.0,0.28899749042398626,0.0,0.0
2,17,18092,8303,51.63,0.05130255941499086,94.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3735999036492834,0.0,0.0,0.0,0.0,0.0,0.3456581958328315,0.0,0.2807419005178851,0.0,0.0
2,18,21135,9927,51.13,0.038919546906767355,96.11,0.0,0.0,0.0,0.0,0.20348544373929686,0.0,0.0,0.0,0.3744333635539438,0.0,0.0,0.0,0.0,0.0,0.1514052583862194,0.0,0.27067593432053993,0.0,0.0
2,19,16354,8823,43.7,0.041707396546106223,95.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04601609429899127,0.3046582794967698,0.0,0.0,0.0,0.0,0.0,0.0,0.2522951377082625,0.14677547319505838,0.25025501530091804,0.0
2,20,15597,7871,44.27,0.09445467096180396,90.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5380510735611739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46194892643882607,0.0,0.0
2,21,21582,11060,46.43,0.04333535161318225,95.67,0.0,0.0,0.0,0.0,0.14746835443037976,0.0,0.0,0.0,0.44801084990958406,0.0,0.0,0.0,0.0,0.0,0.0,0.17432188065099458,0.0,0.2301989150090416,0.0
3,1,13524,7095,44.56,0.053747666044278476,94.63,0.0,0.0,0.0,0.0,0.13262861169837914,0.0,0.0,0.0,0.2646934460887949,0.0,0.0,0.0,0.1730796335447498,0.0,0.42959830866807613,0.0,0.0,0.0,0.0
3,2,13141,7602,39.73,0.04015151515151515,95.98,0.338726650881347,0.0,0.0,0.0,0.12167850565640621,0.0,0.0,0.0,0.20349907918968693,0.0,0.0,0.0,0.0,0.0,0.3360957642725598,0.0,0.0,0.0,0.0
3,3,13806,7376,44.0,0.04604242110708743,95.4,0.0,0.0,0.0,0.42651843817787416,0.0,0.0,0.0,0.22017353579175705,0.19305856832971802,0.0,0.0,0.0,0.16024945770065077,0.0,0.0,0.0,0.0,0.0,0.0
3,4,12229,6210,46.59,0.0491502067064768,95.08,0.0,0.0,0.0,0.0,0.1856682769726248,0.0,0.0,0.0,0.1885668276972625,0.0,0.0,0.0,0.0,0.0,0.43365539452495977,0.0,0.192109500805153,0.0,0.0
3,5,15838,8115,45.88,0.053313112459169386,94.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20345040049291435,0.0,0.0,0.0,0.0,0.0,0.3100431300061614,0.0,0.4865064695009242,0.0,0.0
3,6,15311,8560,41.39,0.04613327390238467,95.39,0.0,0.0,0.0,0.48960280373831777,0.0,0.0,0.0,0.0,0.19030373831775702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32009345794392524,0.0,0.0
3,7,12769,6645,43.97,0.07114900754822477,92.89,0.33935289691497367,0.0,0.0,0.25793829947328817,0.0,0.0,0.0,0.0,0.2677200902934537,0.0,0.0,0.0,0.13498871331828444,0.0,0.0,0.0,0.0,0.0,0.0
3,8,14237,7606,43.21,0.05924551638837353,94.08,0.0,0.0,0.0,0.35550880883513014,0.0,0.0,0.0,0.0,0.25190638969234813,0.0,0.0,0.39258480147252167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
